date,text,verdict
October 15 2015,"""Fifteen out of the 20 most polluted cities in the world"" are in India and China.",1
August 24 2015,"""We did not even have a federal income tax in this country until 1913.""",2
August 10 2015,"""The United States has the highest incarceration rate in the world.""",1
March 17 2015,"""The stock market has almost tripled since April of 2009.""",1
December 15 2014,"The U.S. has ""5 percent of the world’s population, 25 percent of the world’s known prison population.""",0
December 1 2014,"The poorest counties in the U.S. are in Appalachia and ""happen to be more than 90 percent white.""",2
October 19 2014,"In 1968 ""the average corporate CEO made 20 times the average worker’s pay. Today that multiple is about 350.""",1
June 4 2012,"President Obama budget request for veterans is ""more than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.""",0
November 12 2011,"""Ronald Reagan raised the national debt 18 times.""",0
February 14 2011,"The war in Iraq was a major factor in blowing ""the top off the price of oil."" ",3
