date,text,verdict
May 20 2019,"""When Connecticut did licensing, their shootings dropped, their murders dropped 40%. Suicides dropped 15%.""",1
May 10 2019,"""Nowadays, there is more regulation over toy guns than real ones.""",3
May 1 2019,"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism."" ",1
April 11 2019,"Says President Donald Trump ""cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups.""",3
March 21 2019,"""Farmer suicide rates are as high as they have been since the Great Depression.""",4
February 8 2019,"""Even the (Congressional Budget Office) says if you lower Medicare to allow 50 year olds to get into it, you can not only save the government money, but you can lower premiums for all Americans."" ",4
March 16 2018,"""Research shows that 1 percent of licensed dealers supply a whopping 57 percent of the guns that are recovered in crimes.""",2
January 18 2018,"""In American history since 9/11, we've had 85 major attacks in our country, 73 percent of them have been by white nationalist hate groups.""",2
January 8 2017,"""In 2009, Mitch McConnell was the person that’s saying, 'Hey, we should get all the ethics information in before we do the hearings.' """,1
July 10 2016,"The war on drugs led to ""a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities."" ",1
June 23 2016,"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""",1
August 18 2015,"""You’re more likely to get struck by lightning in Texas"" than find in-person voter fraud.",0
July 31 2015,"""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.""",1
September 15 2013,"Newark is ""now home to one-third of all commercial and multi-family development.""",2
February 17 2013,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority."" ",2
February 10 2013,"Says ""right now, we have more military spending than the next 10, 11, 12 countries combined.""",0
December 27 2012,"""You see 34 people (are) murdered every single day"" by gunfire in America.",1
September 9 2012,"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",0
September 4 2012,"""The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.""",0
May 28 2012,"Says under President Barack Obama there’s been ""the lowest discretionary spending we’ve had in decades in the United States.""",4
May 21 2012,"Says New Jersey’s prison system is ""61 percent African-American even though our state is just 13 percent black.""",0
April 12 2012,"Says New Jersey Devils managing partner Jeff Vanderbeek ""took us into arbitration.""",4
April 12 2012,"Says New Jersey Devils managing partner Jeff Vanderbeek ""froze all those monies during the toughest years in ‘08-’09"" and ""refused to give the charitable dollars that he was required to give by the contract.""",1
March 1 2012,"""We've seen in this last year tremendous things happening, including our unemployment rate come down 2 percentage points.""",4
December 25 2011,"Says America spends ""over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.""",0
October 24 2011,"Says ""if you are shot in the city of Newark, you have over an 80 percent chance that you've been arrested before an average of 10 times.""",1
August 3 2011,Says more than eight countries lead the United States in the percentage of college graduates. ,1
July 14 2011,"Says for the first time in the history of the United States, the government cut taxes during wartime",1
June 22 2011,"The ACLU didn't call for an investigation (of the Newark police department), they called for an immediate federal monitor.",4
