date,text,verdict
November 4 2014,"""More people are losing their insurance (due to Obamacare) than are becoming newly insured.""",4
August 26 2014,"""Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve."" ",3
November 19 2013,"Says Thomas Jefferson said, ""You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.""",2
December 2 2011,"Says his 9-9-9 tax reform plan is not ""regressive.""",4
November 18 2011,On auditing the Federal Reserve,2
November 2 2011,"China is ""trying to develop nuclear capability.""",5
October 18 2011,"The 9-9-9 plan ""does not raise taxes on those that are making the least.""",4
October 18 2011,"The Department of Energy’s ""Billion Ton Study"" has shown that wind and solar energy combined ""could at best provide only 5 percent of our total energy needs.""",4
October 14 2011,"""Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.""",2
October 13 2011,"Says someone earning $50,000 a year will fare better under his ""9-9-9"" plan than under the current tax system.",3
October 12 2011,"""Every worker pays 15.3 percent payroll tax.""",3
October 5 2011,"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",4
October 3 2011,"""If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.""",1
September 27 2011,"""If we had been on 'Obamacare' and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.""",4
September 26 2011,"""This is the worst jobs recovery since the Great Depression.""",4
September 12 2011,"""Today, when people retire in Galveston County, Texas, they retire making at least 50 percent more than they would ever get out of Social Security.""",2
August 17 2011,"Says that he did ""not exactly"" say that communities have the right to ban mosques.",4
June 20 2011,Muslims tried to use Sharia law to influence court decisions in New Jersey and Oklahoma,3
June 17 2011,"Says an alternative to Social Security that operates in Galveston County, Texas, has meant that participants will ""retire with a whole lot more money"" than under Social Security.",2
June 10 2011,"""When I became president and CEO of Godfather’s Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles.""",1
June 8 2011,"""I did not say that I would not have them [Muslims] in my Cabinet.""",5
May 25 2011,"In the U.S. Constitution, ""there’s a little section in there that talks about life, liberty and the pursuit of happiness.""",4
May 24 2011,"The U.S. has ""47 million people on food stamps. That’s 14 million more than when the current occupant of the White House took over.""",1
May 2 2011,"Says ""in Canada, the number of CT scan machines per 1,000 people is like one-tenth of what we have here in this country. That's why people have to wait.""",4
April 22 2011,China holds 26 percent of the U.S. debt.,4
April 8 2011,"Said Planned Parenthood’s early objective was to ""help kill black babies before they came into the world.""",5
February 15 2011,"The United States is ""the only developed country in the world that has not cut its corporate tax rate.""",2
