date,text,verdict
February 9 2018,"""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.""",1
March 2 2017,"""We've repealed regulations for the first time in 20 years using the Congressional Review Act -- three regulations that were going to cost the economy hundreds of millions of dollars and tens of thousands of jobs.""",2
January 17 2017,"""We give (foreign aid) to developing countries, and 70 percent of it's stolen off the top."" ",4
January 15 2017,"""The vast majority of people that got insurance under President Obama's Obamacare, the Affordable Care Act, got it through Medicaid.""",2
November 17 2016,"Says John Bolton supported the Iraq War and said last year that ""I still think the decision to overthrow Saddam was correct.""",0
January 28 2016,"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.""",3
January 3 2016,"""Both Cruz and Rubio are missing the vast majority of their votes.""",3
December 17 2015,"""If you are going to kill the families of terrorists, realize that there's something called the Geneva Convention we're going to have to pull out of.""",0
December 15 2015,"Says Marco Rubio ""is the one for an open border."" ",5
December 8 2015,"""In France, they have a (surveillance) program a thousandfold more invasive"" than the United States.",1
November 12 2015,"Says Marco Rubio is proposing a new $1 trillion ""welfare program"" in tax credits and ""$1 trillion in new military spending."" ",1
November 10 2015," Income inequality ""seems to be worst in cities run by Democrats.""",2
November 2 2015,"The debt limit deal ""allows President Obama to borrow unlimited amounts of money.""",3
September 18 2015,"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.""",1
August 7 2015,"""The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.""",1
July 26 2015,"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn’t using the proper server.""",0
July 21 2015,"""We borrow a million dollars every minute.""",1
April 24 2015,"""Hillary Clinton’s State Department sent three comedians to India on the ‘Make Chai, Not War’ tour.""",0
April 12 2015,"Says Hillary Clinton ""completely ignored"" ""dozens and dozens of requests for more security"" for the Benghazi consulate.  ",2
April 10 2015,"""The founders of New Hampshire came up with the motto Live Free or Die.""",4
April 9 2015,"""Debt doubled"" under Bush ""and now it’s tripling under Barack Obama’s watch.""",2
March 25 2015,"Says according to recent polls, no Republican candidate ""is doing better against Hillary Clinton than myself.""",3
March 9 2015,"U.S. military involvement in Libya ""allowed thousands of surface-to-air missiles to fall into the hands of radical Islamists.""",3
January 30 2015,"""When you look at the earned income tax credit, it has about a 25 percent fraud rate. We're looking at $20 billion to $30 billion.""",2
January 16 2015,"""Over half the people on disability are either anxious or their back hurts.""",4
October 27 2014,"Ebola is ""incredibly contagious,"" ""very transmissible"" and ""easy to catch.""",3
October 27 2014,"""$2.4 million of the NIH dollars was spent on ‘origami’ condoms.""",1
September 16 2014,"""Income inequality is worse in towns run by Democrat mayors than in towns run by Republican mayors.""",2
September 11 2014,"In Tripoli, ""jihadists today swim in our embassy pool.""",2
August 21 2014,"""Washington has incentivized the militarization of local police precincts.""",0
August 7 2014,"""I haven’t really proposed (phasing out aid to Israel) in the past.""",5
August 7 2014,"""It cost us more to shut the government down than to keep it open.""",0
May 5 2014,"""For every Kentuckian that has enrolled in Obamacare, 40 have been dropped from their coverage.""",5
April 29 2014,"40 percent of illegal immigrants ""had a visa and then became illegal,"" mostly because ""they changed jobs.""",2
March 9 2014,"""The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.""",1
January 30 2014,"Says President Barack Obama ""spent nearly a trillion dollars on make-work government jobs.""",4
January 28 2014,"""Over half of the young people"" in medical, dental and law schools are women.",4
January 9 2014,"""There are many studies that indicate"" that the longer people get unemployment insurance, ""it provides some disincentive to work.""",1
October 4 2013,"""Eighty-five percent of government's running right now. Only 15 percent of government spending is shut down.""",2
September 10 2013,"""We've seen priests beheaded by the Islamic rebels on the other side. We've also seen an Islamic rebel eating the heart of a soldier.""",2
August 16 2013,"Many uninsured Americans are ""young.""",1
August 15 2013,"""Why didn't (uninsured Americans) buy insurance? Because of the expense.""",0
August 15 2013,"Of the roughly 15 percent of Americans who don’t have health insurance, ""half of them made more than $50,000 a year.""",4
July 11 2013,"""There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money.""",0
May 22 2013,"Says Hillary Clinton ""was asked repeatedly to provide security in Benghazi on several occasions, including direct cables.""",3
March 15 2013,"Says the federal government is supporting a study in Hawaii to ""develop a menu for when we colonize Mars.""",1
March 12 2013,"""When (John) Brennan ... was asked directly … ‘Is there any geographic limitation to your drone strike program?’ Brennan responded and said, ‘no, there is no limitation.’""",0
March 7 2013,"""The president is advocating a drone strike program in America.""",4
March 7 2013,"""When the president's spokesman was asked about (Anwar) al-Awlaki's son, … he said he should have chosen a more responsible father.""",2
March 4 2011,"""The average (public school) teacher in Wisconsin’s making $89,000 a year"" in salary and benefits.",4
February 17 2011,"The federal government ""can cut all of the non-military discretionary spending and not balance the budget.""",0
February 4 2011,"Israel's per capita income ""is greater than probably three-fourths of the rest of the world.""",0
January 28 2011,"Says President Barack Obama revealed in his State of the Union address that he ""now is against earmarks.""",1
November 15 2010,"""We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So we've taken 5 percent away from the private sector.""",0
November 11 2010,"""The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year.""",4
November 8 2010,"""The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.""",1
