date,text,verdict
September 6 2017,"""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""",2
April 6 2017,"""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That's what she said. Go look it up.""",4
November 8 2015,"""I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.""",4
September 2 2015,"The claim that 97 percent of scientists believe humans are causing climate change has been debunked by the ""head"" of the United Nations Intergovernmental Panel on Climate Change. ""That number was pulled out of thin air.""",4
September 1 2015,"""The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.""",4
June 7 2015,"If Fox News' presidential debate rules had been in place during the 1992 election, ""Bill Clinton wouldn't have been on the stage.""",3
April 15 2015,"Says Howard Zinn, ""an anti-American Marxist,"" wrote ""the most popular textbook that's taught in our high schools in America.""",3
April 13 2015,"""Ninety percent of American workers don't own their own business.""",1
April 8 2015,"Seventy percent of Americans ""don't have a college degree.""",0
November 23 2014,"""There are more people living in this country who were not born here than at anytime in the history of the country.""",2
July 16 2014,"""We are accepting more legal immigrants than we ever have in the history (of the United States.)""",3
July 13 2014,"Children are crossing the border because President Barack Obama said ""if you come, you’re going to be able to stay, because we’re not going to enforce the law.""",3
May 11 2014,"The CBO says that if you raise the minimum wage to $10.10 an hour, ""half a million people would lose their jobs.""",1
August 30 2012,"President Obama’s education ""solution"" includes an effort to ""nationalize curriculum.""",3
August 29 2012,"When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""",4
August 28 2012,"Says President Obama has waived ""the work requirement for welfare.""",5
April 3 2012,"""I think it’s seven or eight of the California system of universities don’t even teach an American history course. It’s not even available to be taught.""",4
March 29 2012,"""Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate.""",1
March 28 2012,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",2
March 13 2012,"President Barack Obama’s policies have forced ""many parts of the country to experience rolling blackouts.""",5
March 8 2012,"After President Barack Obama’s health care law takes full effect, ""100 percent"" of Americans will ""depend on some form of federal payment, some form of government benefit to help provide for them.""",4
March 8 2012,"""A little less than 50 percent of the people in this country depend on some form of federal payment, some form of government benefit to help provide for them.""",1
March 7 2012,"""If you look up the dictionary definition of happiness at the time of our founders … happiness was not doing what you want to do but doing what you ought to do.""",3
March 7 2012,"Says the federal government ""tells health insurance companies how much money they're allowed to keep of what they receive in revenues -- 15 percent.""",2
March 6 2012,"""When my grandfather came to this country back in 1925, there were no government benefits."" ",4
March 3 2012,"""[R]emember, the president proposed eliminating charitable deductions for higher-income taxpayers.""",4
February 29 2012,"Says Mitt Romney said he does not ""line up with the NRA.""",0
February 28 2012,"Claims Supreme Court Justice Ruth Bader Ginsburg said ""she prefers the South African Constitution over the United States Constitution.""",4
February 27 2012,"""President Obama once said he wants everybody in America to go to college.""",4
February 27 2012,"""Amniocentesis, does, in fact, result more often than not in this country in abortion.""",4
February 27 2012,"After prenatal diagnosis, ""90 percent of Down syndrome children in America are aborted.""",2
February 24 2012,"""Over 40 percent of children born in America are born out of wedlock.""",0
February 23 2012,"""When I was born, less than 10 percent of the federal budget was entitlement spending. It's now 60 percent of the budget.""",2
February 23 2012,"""When I was born, defense spending was 60 percent of the budget. It's now 17 percent.""",1
February 22 2012,"Says in the last 20 years, the French have not ""stood by"" the United States on foreign policy.",5
February 16 2012,Says Mitt Romney supports cap and trade.,4
February 16 2012,"""Romney adviser admits Romneycare was blueprint for Obamacare.""",1
January 27 2012,"""In 2006, I went out and authored a letter with 24 other senators asking for major reform of Freddie and Fannie, warning of a meltdown and a bubble in the housing market.""",3
January 27 2012,"""Romneycare … is a top-down, government-run health care system.""",3
January 24 2012,"Florida's economy ""became a bad economy ... because of a huge spike in oil prices in the summer of 2008.""",3
January 24 2012,"""Speaker Gingrich for 20 years supported a federal individual mandate"" for health insurance.",1
January 20 2012,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",5
January 20 2012,"President Obama has ""said he is going to cut veterans' benefits.""",2
January 19 2012,Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,4
January 9 2012,"As a result of welfare reform, ""poverty levels went down to the lowest level ever for ... African-American children.""",2
January 8 2012,"Paul Ryan’s Medicare plan provides ""pretty much"" the same coverage that members of Congress receive.",3
January 4 2012,"Rick Santorum ""reformed welfare.""",2
January 3 2012,"Says he has ""been able to attract independents and Democrats to win"" elections in Pennsylvania.",2
December 5 2011,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,0
December 2 2011,"The balanced-budget amendment once came within one vote of passing Congress but was defeated because of the no vote from a top Senate Republican, and Rick Santorum says he ""stood up and called for him to resign his chairmanship.""",0
November 9 2011,"""The unemployment rate among (the) non-college-educated is well into the double digits in America. It's 4 percent or 5 percent for people who have college degrees.""",2
October 18 2011,"Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, ""You took it out of your book.""",3
October 13 2011,"The poverty rate for families in which a husband and a wife work is 5 percent, but in families headed by one person … ""it's 30 percent today.""",2
October 4 2011,"Says that in 2001, Rick Perry spoke favorably of binational health insurance between Mexico and Texas.",2
September 22 2011,"Says Rick Perry ""provided in-state tuition... for illegal immigrants.""",0
July 27 2011,"In Europe, ""church attendance rates (are) in the single digits"" because churches are supported by taxes.",3
June 15 2011,"The Medicare drug program ""resulted in the program coming in 40 percent under budget. ... And the reason it was, is because the design was right."" ",2
June 15 2011,"Says President Barack Obama ""has put (up) a stop sign … against oil drilling, against any kind of exploration offshore or in Alaska.""",4
June 15 2011,"""The cost-of-living increase in Social Security is tied to wage inflation.""",4
March 31 2011,"""A third of all the young people in America are not in America today because of abortion, because one in three pregnancies end in abortion.""",4
March 10 2011,"""Any child born prematurely, according to the president, in his own words, can be killed.""",5
