date,text,verdict
July 19 2016,"Says Hillary Clinton ""said all work-related emails were sent back to the State Department. The FBI director said, that's not true.""",0
July 19 2016,"Says ""(Clinton) called President Assad a ‘reformer.’ She called Assad a ‘different kind of leader.’ "" ",2
January 28 2016,"Neighbors of the San Bernardino shooters ""knew that they were talking about trying to take our country and attack it."" ",4
January 15 2016,"""I didn’t support Sonia Sotomayor.""  ",4
December 21 2015,"Says the Obama administration invited ""Russia into Syria.""",3
November 12 2015,"The Democrats plan ""to raise your tax rates to 70 or 80 percent.""",4
November 10 2015,"Says the United States is in ""the worst recovery from an economic recession since World War II.""",2
October 28 2015,"Bernie Sanders’s plan is ""to raise your taxes to 90 percent.""",5
August 7 2015,"""I was appointed U.S. attorney by President Bush on Sept. 10, 2001.""",3
July 9 2015,"""There’s now been three independent investigations (into the bridge scandal) all of which have said"" that Christie did not have prior knowledge of or involvement in the lane closures.",2
June 24 2015,On Common Core. ,4
January 26 2014,"""In the entire public school system in Camden last year, only three students graduated college ready.""",1
January 19 2014,"""Today, our unemployment rate is 7.8 percent. That is the lowest in five years.""",1
December 22 2013,"""The fact that one town has three lanes dedicated to it, that kind of gets me sauced.""",5
November 17 2013,"Says New Jersey has gained ""143,000 new private-sector jobs.""",0
November 14 2013,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",1
November 10 2013,"""In fact, there’s more state funding for education today than any other time.""",0
October 27 2013,"Says Barbara Buono ""voted to raise her own pay 40 percent.""",1
August 4 2013,"""In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.""",0
June 30 2013,"""Not one tax has been raised since I've been governor.""",2
June 2 2013,"""Jon Corzine, elected governor. Teams up with Barbara Buono. $1.2  billion sales tax increase? Passed. Most spending in state history? Passed. After Buono named budget chair, taxes and fees increase 23 times in just two years. State debt? Up $13.4 billion. Unemployment? Doubled.""",2
May 19 2013,"""Buono voted 154 times to raise our taxes -- like the sales tax, the income tax, health care taxes, even small business taxes.""",0
May 12 2013,"""Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jersey’s best teachers, and the most education funding ever.""",2
May 9 2013,"""Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jersey’s best teachers, and the most education funding ever.""",1
May 5 2013,"""We’re spending less money today, in upcoming fiscal year 2014 than the Corzine-Buono budget spent in fiscal year 2008.""",1
April 28 2013,"""If anyone should know irresponsible it should be Senator Buono. She’s the one, her budget left us with a $2 billion budget deficit in fiscal 10 that I had to fix. Her mistakes. And for fiscal year 2011 an $11 billion budget deficit. Her mistakes, along with her partner Jon Corzine.""",2
April 11 2013,"""The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. … As did other Governors before. We simply don’t do that, haven’t done it, and won’t permit it.""",3
March 21 2013,"Said the year before he took office, the state lost 119,000 private-sector jobs, labeling them ""Corzine jobs losses of 2009.""",2
March 3 2013,"""Since January 2010, New Jersey has added 103,000 new private sector jobs. The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth since 1999.""",1
February 28 2013,"""Property taxes had increased 70 percent in the previous 10 years.""",1
February 6 2013,"Says ""in Katrina, they approved $60 billion within 10 days of the storm on a voice vote.""",2
February 3 2013,"Says ""on the state level, we spend less today than Jon Corzine spent in fiscal year 2008, five years later.""",1
January 20 2013,"""In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.""",0
January 17 2013,"""Gross income tax receipts are exceeding the Administration’s projections for this fiscal year prior to Sandy.""",0
January 10 2013,"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",0
January 9 2013,"Says in fiscal year 2011, the state had ""a projected $11 billion deficit.""",2
December 30 2012,"Says ""our economy in New Jersey gets $38 billion from the businesses at the Shore.""",4
November 18 2012,"Says New Jersey is ""50th in return of our federal tax dollars.""",1
November 11 2012,"Says ""I was the first governor in America to endorse Mitt Romney.""",5
October 29 2012,"Says New Jersey lost private-sector jobs between 2000 and 2009 because Democrats increased taxes, fees, regulations and state spending.",2
October 22 2012,"""Now remember, property taxes went up 70 percent in the 10 years before I became governor.""",1
October 4 2012,"""(Barack Obama) says he’s going to reduce the long-term debt and deficit by $4 trillion, doesn’t say how he's going to do it.""",5
October 3 2012,"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",2
October 1 2012,"Says Ronald Reagan ""was behind in the polls in 1980 going into the debate with Jimmy Carter and then turned around 10 days later and won 40 states.""",2
September 26 2012,"Says there are ""fewer jobs in America today than when Barack Obama became president.""",3
September 5 2012,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,0
September 3 2012,"Says Chris Christie was the ""first governor in America to endorse"" Mitt Romney.",4
August 30 2012,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",4
August 30 2012,"Says the United States has ""the world’s greatest health care system.""",2
August 28 2012,"Says ""taxes were raised 115 times in the eight years before I became governor"" and those increases were part of a ""path that led to wealth and jobs and people leaving our state.""",2
August 28 2012,"Says they said ""it was impossible to balance a budget at the same time, with an $11 billion deficit"" and ""we did it.""",2
August 28 2012,"There has been ""$5 trillion in debt added over the last four years.""",1
August 23 2012,"""I haven't raised taxes in the time I've been the governor of New Jersey.""",2
August 20 2012,"Says Jon Corzine ""gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, 'I will fight to get you a great contract.’""",1
August 15 2012,"Says ""a Republican hasn't won [an election] for a presidency in New Jersey since 1988.""",0
July 30 2012,"""What I look at every month is how many more New Jerseyans are back to work. You have another 9,900 last month that are back to work and over almost 90,000 that are back to work now since I became governor.""",4
July 26 2012,"""We created as many jobs in the first six months of this year as we did in all of 2011 and 2011 was the best single year for private-sector job growth since the year 2000.""",0
July 23 2012,"""I used my line-item veto authority to veto $360 million dollars in special interest spending, so that our budget this year ... is still smaller than the fiscal year 2008 and 2009 budgets signed by my predecessor.""",4
July 16 2012,"""New Jersey today has fewer employees in state government than it had when Christie Whitman left office in January of 2001, and I think that’s good. And we did it without any layoffs. We did it through attrition.""",4
July 12 2012,"Says New Jersey’s tenure law ""has now been reformed to say that if teachers get two years of partially effective or ineffective ratings they lose tenure.""",4
July 8 2012,"Says state Sen. Paul Sarlo ""said in February on NJTV, ‘there will be no tax increases in this budget’"" and ""voted the other night in the Senate Budget Committee to raise income taxes $800 million.""",1
July 5 2012,"""If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president.""",0
July 4 2012,"Says ""our 12 month job increase was the sixth highest in the nation.""",2
June 24 2012,"Says New Jersey’s job growth in May represents ""25 percent of all the jobs created in the country.""",4
June 21 2012,"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",3
June 11 2012,"""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""",4
May 27 2012,On transportation financing,2
May 25 2012,"Says Democratic legislators this year ""don't want to cut your taxes under any circumstances.""",5
May 9 2012,"""We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.""",0
April 5 2012,"""To get out of the (teachers) union, you pay 85 percent of $731. Then you're out of the union, but you've got to pay it every year, also required by statute. That’s called a representation fee.""",0
March 25 2012,Says he and President Barack Obama have the same position on gay marriage.,2
March 8 2012,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.""",0
