date,text,verdict
April 30 2019,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",0
April 4 2019,"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food."" ",2
March 12 2019,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""  ",0
March 11 2019,"""Trump's campaign manager, Paul Manafort, commits bank and tax fraud and gets 47 months. A homeless man, Fate Winslow, helped sell $20 of pot and got life in prison.""",1
February 25 2019,"""The high cost of child care is the No. 1 reason people give for having fewer children than they’d like."" ",2
February 14 2019,"""By rubber-stamping the Bayer-Monsanto merger, the Justice Department is handing control over one quarter of the world's seeds and pesticides market to one ginormous agribusiness."" ",2
January 31 2019,"""The top 0.1 percent ... own about the same wealth as 90 percent of America."" ",1
January 9 2019,"With the Republican tax law, ""the rich folks got $1.5 trillion."" ",2
July 18 2017,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",1
July 26 2016,"""Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap.""",2
July 5 2016,"Says Donald Trump's position is ""to roll back all"" of the financial regulations passed after the financial crisis.",1
October 1 2015,"Student loans from the federal government issued between 2007 and 2012 are on target ""to produce $66 billion in profits for the United States government."" ",2
May 14 2015,"Proposed fast-track legislation allows presidents to ""easily use a future trade deal to override our domestic financial rules.""",2
January 13 2015,"""The average family not in the top 10 percent makes less money today than they were making a generation ago.""",1
May 22 2014,"""Today, the five largest financial institutions are 38 percent bigger than they were back in 2008, when they were too big to fail.""",1
