date,text,verdict
May 23 2019,"""In America today, women on average are paid 80 cents on the dollar of what men are paid for the same work.""",3
May 23 2019,On the need for independent investigations of police shootings ,4
April 26 2019,"""One out of 4 diabetes patients in our country cannot afford their insulin.""",1
April 24 2019,"""The majority of women are minimum wage workers.""",4
April 19 2019,"""It's clear in our country right now, almost half of American families are a $400 unexpected expense away from complete upheaval.""",2
April 1 2019,"""In 30 states, average teacher pay is less than the living wage for a family of four.""",1
March 28 2019,"Says Trump administration is ""raiding money"" from military service member pensions to pay for the border wall.",4
March 21 2019,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt.""",1
February 28 2019,"Says handing over arrested undocumented youth to ICE ""was an unintended consequence"" of a 2008 San Francisco policy that she supported.",4
February 13 2019,"""The average tax refund is down about $170 compared to last year. Let’s call the President’s tax cut what it is: a middle-class tax hike to line the pockets of already wealthy corporations and the 1%.""",3
January 30 2019,"""The cost of living is going up, but paychecks aren't keeping up.""",3
September 10 2018,"Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered ""abortion-inducing drugs.""",4
July 25 2018,"""In 99 percent of counties in America, someone making the minimum wage working full time can’t afford a 1-bedroom apartment.""",1
July 19 2018,"""Let’s talk about the facts and where we are today. There are still nearly 2,600 children who are separated from their parents"" due to the Trump administration’s zero-tolerance policy.",0
January 25 2018,"""No state generates as much solar power as California, or has as many people whose jobs depend on it.""",1
August 9 2017,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",0
February 24 2017,"""Studies have shown Latinos are more than 40 percent less likely to call 911 when they have been a victim of a crime.""",1
October 6 2016,"Says Congresswoman Loretta Sanchez ""has passed one bill in her 20 years in Congress, and that was to rename a post office.""",2
September 16 2016,"""Over the last 40 years, this country’s prison population has grown by 500 percent.""",1
August 23 2016,"""22 veterans take their own lives each day.""",1
September 5 2012,"Mitt Romney said we should let foreclosures ""hit the bottom.""",2
